timestamp,pod,cpu,memory
2026-08-11T16:44:48+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:48+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:48+08:00,mongodb-0,154m,86Mi
2026-08-11T16:44:51+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:51+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:51+08:00,mongodb-0,154m,86Mi
2026-08-11T16:44:53+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:53+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:53+08:00,mongodb-0,154m,86Mi
2026-08-11T16:44:55+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:55+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:55+08:00,mongodb-0,154m,86Mi
2026-08-11T16:44:57+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:57+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:57+08:00,mongodb-0,154m,86Mi
2026-08-11T16:44:59+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:44:59+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:44:59+08:00,mongodb-0,154m,86Mi
2026-08-11T16:45:01+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,27m,1Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,145m,59Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,55m,22Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,38m,7Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,43m,10Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,128m,14Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,40m,13Mi
2026-08-11T16:45:01+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:01+08:00,mongodb-0,154m,86Mi
2026-08-11T16:45:03+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:03+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:03+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:06+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:06+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:06+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:08+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:08+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:08+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:10+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:10+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:10+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:12+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:12+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:12+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:14+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:14+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:14+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:16+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,29m,3Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,43m,59Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,42m,22Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,40m,12Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,13Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,50m,12Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,43m,14Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,38m,13Mi
2026-08-11T16:45:16+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:16+08:00,mongodb-0,114m,87Mi
2026-08-11T16:45:18+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:18+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:18+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:21+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:21+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:21+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:23+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:23+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:23+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:25+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:25+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:25+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:27+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:27+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:27+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:29+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-amf-amf-58c4d7b8b8-b75xd,45m,59Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-ausf-ausf-789bbfb4df-zxmhg,40m,22Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,40m,7Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,3m,11Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,39m,7Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,38m,17Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,39m,10Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,41m,14Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,36m,13Mi
2026-08-11T16:45:29+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T16:45:29+08:00,mongodb-0,146m,87Mi
2026-08-11T16:45:31+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,28m,0Mi
